setting,compound,sentence_usage,sentence_id,cluster_id,year,requested_k,effective_k,iterations,ensemble_runs
cw_knn_k5_iter20_ens9,bergwerk,"Eine Specialität der Königshütte war Seildraht für die Harzer Bergwerke , der nicht gezogen , sondern mit dem Zainhammer rund geschmiedet wurde .",451297,156,late,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,1825 wurden die Bergwerke von Gellivara von einer englischen Gesellschaft ausgebeutet .,451486,12,late,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"1835 wurden schon die ersten Drahtseile in den ungarischen Bergwerken verwendet , und Wurm erfand seine Seilmaschine .",455663,52,late,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Siehe Karsten , Handbuch der Eisenhüttenkunde I , 147 ; von Carnall , Die Bergwerke in Preuſsen und deren Besteuerung 1850 .",456860,201,late,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Entbloͤſſe deine marmel-bruſt / Das reiche bergwerck aller luſt / Laß mich dein ſchnee-gebuͤrge ſchauen / Das zweyfach durch die glut ſich trennt / Und ſtets voll heiſſer flammen brennt / Die kalten hertzen auffzutauen .,553208,159,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,ETwann geſchihets / daß / ſonderlich die ſo genante / in Bergwerken vorkommende / Berg-Cryſtallen nicht nur bedecket / oder beſprengt werden mit Erdichten Theilen / ſondern auch mit Metalliſchen / ins beſonder aber mit Schwefelkieß .,572268,239,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Es ſeyn diſe Blaͤter wol zuunterſcheiden von denen jenigen Blaͤtteren / und Kraͤuteren / welche ſich in denen Schieferen in und auſſert den Bergwercken und Steinbruͤchen / finden / und meines bedunkens unter die Uberbleibſelen der Suͤndflut zu zehlen ſeyn .,573574,18,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Beſtunden diſe maſſive Berghoͤhenen auß derjenigen ſchwereren Erde / ſo in der Bergwerken tieffe angetroffen wird / ſo were ſie widerum den Abſchwem̃ungen unterworffen / wie die vorige / darbey aber wurden zwey andere Ungelegenheiten erwachſen / welche theils uns Schweizer wurde treffen / theils aber die ganze überige Erde .,573904,6,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Wie aber diß Nach heutiger Mechaniſcher Außrechnung verhaltet ſich die Erde / ſo an dem Boden der Bergwerken gefunden wird / zu dem Waſſer / in Anſehung ihrer ſpecific-Schwere / wie 3. oder 4. zu 1. ja bißweilen wie 5. zu 1. hingegen die Steine / von welchen unſere Gebirge aufgebauen / wie 14. zu 5½ . woruͤber auch zuleſen Dethlevi Cluveri Geologia. p. 26. Hierauß laſſet ſich ſchlieſſen / daß bey ſo bewandter Geſtalt oder Beſchaffenheit der Bergen / auß ſchwerer Erden / die Schweiz anderen gleichgroſſen Theilen der Erden an Schwere wurd uͤberlegẽ ſeyn / und die Erdkugel auß der Ruhe ihres Wirbels ( mit diſer Redensart werden zufriden ſeyn ſo wol die Ptolemaici , als Copernicani ) gehoben werden .",573908,259,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Daß deme alſo / und diſere Anfangs der Vernunft widrig ſcheinende Erklaͤrung der Suͤndfluth nicht unter die ohngruͤndlichen Hirngedichte zuzehlen ſeye / laſſet ſich ganz gewiß ſchlieſſen auß Betracht- und Unterſuchung der oberen Erde / ins beſonder aber auß denen gewiſſen / ohnzweifelhaften / Ueberbleibſelen der erſten Welt / welche nicht nur oben auf der Erden-Flaͤche / in den Aekern / ligen / ſondern iñert den haͤrteſtẽ Felſen / Marmlen / in tieffẽ Steinbruͤchen / Kohl Erz und anderen Bergwerken anzutreffen ſeyn .,574037,103,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,So finden ſie auch der ſchrifft verſtand immer tieffer / und werden gewahr / wie noch ſo viel ſchaͤtze in dieſem bergwerck ſtecken / davon ſie nur erſtlich etwas von dem ertz / ſo ſich an den tag leget / geſehen hatten und ſolches vor viel gehalten .,622174,106,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Und dieſes lehret uns , wie in des Bergwercks Gruͤnden Bey ſo verſchiedenem Metall es gehen muͤſſe ,",633806,133,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Bey Sangerhauſen , Koͤnitz und Saalfeld giebt es Bergwerke , die Kupfer und Silber halten ; bey Langewieſen iſt ein Bergwerk , welches Schwefel , Alaun und Vitriol zur Ausbeute giebt ; bey Gehren ſind Eiſenbergwerke ; und ſowol die Schwarze , als auch die Saale fuͤhren Gold in ihrem Sande .",644107,123,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Bey Sangerhauſen , Koͤnitz und Saalfeld giebt es Bergwerke , die Kupfer und Silber halten ; bey Langewieſen iſt ein Bergwerk , welches Schwefel , Alaun und Vitriol zur Ausbeute giebt ; bey Gehren ſind Eiſenbergwerke ; und ſowol die Schwarze , als auch die Saale fuͤhren Gold in ihrem Sande .",644107,39,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Es iſt das beſte unter allem Kupfer , das die Bergwerke dieſes weitlaͤuftigen Reichs liefern .",644220,7,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Das Kupfer , welches man dazu gebrauchet , koͤmmt aus den Bergwerken von Gumiſcana , 3 Tagereiſen von Trebiſonde und von Caſtambul , 10 Tagereiſen von Tocat , nach der Seite von Angora zu .",644276,40,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Er dienet daher nicht allein der Stadt St. Jago , der Hauptſtadt in Chili , ſo 15 Meilen oberhalb dieſer Stadt an eben dem Fluſſe liegt , zum Embarcadero oder Hafen ; ſondern es werden auch daſelbſt alle Einkuͤnfte , die der Koͤnig von Spanien aus Chili zieht , nach Peru , und alle Guͤter der Privatperſonen , die man nach dem Nordmeere ſendet , eingeſchiffet , die vornehmlich in Golde beſtehen , das aus den Bergwerken bey Valdivia , Conception , oder von Tiſtil , ſo zwiſchen Valparaiſo und St. Jago anzutreffen ſind , gezogen wird .",645655,157,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Silberreiche Bergwerke findet man bey Schemnitz in Niederungarn .,646754,145,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Man bemerket auf denſelben mehrentheils die beyden Buchſtaben K. B. ſo die beyden ungariſchen Woͤrter Kermecz und Banya , das iſt , aus dem Kremnitzer Bergwerke , andeuten .",646803,119,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Die Bergwerke , welche ſehr alt ſind , haben bereits 1413 von dem Koͤnige Erichen aus Pommern ihre Privilegien bekommen .",649440,210,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Die Einwohner ( 7 ) ernaͤhren ſich inſonderheit von Bergwerken , und den dabey vorfallenden Handthierungen , wie auch von der Fiſcherey und einigem Ackerbaue .",649444,140,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Der nordliche Theil hingegen hat groͤßern Vorrath an ( 5 ) Waldungen und Bergwerken , wie man denn ſchoͤne Silber- Kupfer- Stahl- und Eiſengruben hier antrifft .",649646,238,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Wismuth , oder Wißmuth und Bismuth , ingleichen Aſchbley , oder Aſchzinn , und von den Materialiſten und Apothekern Markaſit genannt , lat. Wismuthum , Bismuthum , Plumbum cinereum , Stannum cinereum , Marcaſita officinarum , franz. Bismuth , oder Etain de Glace , ein Halbmetall , ſo unter dem Zinnerzte bricht , und auf den Bergwerken gerne geſehen wird , weil gern Silber darnach bricht ; daher ihn auch die Bergleute des Erztes , oder Silbers Dach zu nennen pflegen .",650050,135,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Aus dieſen bisher erzaͤhlten Wismutherzten , und Wismuth haltenden Kobolterzten , wird nun auf den Bergwerken , ſonderlich in Boͤhmen , Sachſen und England , derjenige Wismuth , in Menge ( 4 ) ausgeſchmelzet , den man in der Handlung hat , und der ganz fuͤglich mit dem Namen | eines Wismuthkoͤnigs , lat .",650071,187,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Daß auch das ſchoͤne Bergwerk im Chriſtophsthale bey Freudenſtadt noch itzt ſchwunghaftig umgehen muͤſſe , ſieht man daraus , weil man 1740 von der Ausbeute Medaillen gepraͤget hat .",650551,12,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Auch ſind hier ſehr viele Goldadern , und zwar in ſolcher Menge , daß , obſchon in dem Lande eigentlich verboten | iſt , in die Erde zu graben und Bergwerke zu bauen , dennoch eine unzaͤhlbare Menge Volks hier Gold ſammlet und verhandelt , indem ſie den Goldſand an Fluͤſſen und Baͤchen , ſo von den Goldadern abgeſtoßen iſt , nach vielem Waſchen und Saubern zuſammen ſchmelzen , und alſo leicht zu leben finden .",650707,80,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Unter dieſe Waaren gehoͤren das Gold und das Silber , nach welchem in den Bergwerken zu graben verboten iſt ; ingleichen Schwefel und Salpeter , die der Koͤnig ebenfalls nicht graben und in ſeinem Lande fein zu machen erlaubet ; und endlich alle Edelgeſteine , die der Koͤnig ſich alle vorbehalten hat , wiewol doch die letzten , naͤmlich die Edelgeſteine , von allen Gattungen , ſo viel deren auf dieſer Jnſel zu finden ſind , unter den Hollaͤndern ſehr gemein ſind , denen die Eingebohrnen dieſer Jnſel ſolche von verſchiedenen Orten bringen .",651109,9,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Es hat das Zinn ſeine eigene Bergwerke , welche daher ( 5 ) Zinnbergwerke , oder Zwitterwerke genennet werden ; ob ſich gleich deſſen auch in den Silber- und Bleybergwerken befindet .",651678,53,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Die hollaͤndiſche oſtindiſche Compagnie bringt von dieſem Zinne , vornehmlich von dem aus den Bergwerken des Koͤnigreichs Ligor , von welchen ſie ganz allein Herr ſind , oft uͤber 200000 bis 300000 Pfunde nach Europa ; ohne das zu rechnen , was ſie davon in Oſtindien ſelbſt , in Japan , auf der Kuͤſte von Coromandel , in Bengala , Jndoſtan , Perſien und Arabien verkaufen , als woſelbſt ſie aller Orten einen groſſen Handel damit treiben .",651732,158,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Jenes , das ( c ) boͤhmiſche Zinn , wird aus den Bergwerken zu Schlackenwalde , Grupen , Lauterbach , Aberdam , Hohenelb , St. Joͤrgenſtadt , und Schoͤnfeld gewonnen .",651735,40,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Zoll , iſt auf den Bergwerken ein Maaß , welches den 80ſten Theil einer Berglachter von 3½ Ellen betraͤgt .",651925,97,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Er iſt ſchon im vorigen Jahrhunderte bekannt geweſen , und wird als ein ordentliches Bergwerk tractiret .",652512,27,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Man bedienet ſich aber auch dieſes Maaßes ( b ) zur Ausmeſſung der Tiefe des Meers , der Fluͤſſe , und der Brunnen , in welchem Falle jedoch man die Klafter nicht aller Orten im Deutſchen leicht eine Klafter , ſondern lieber , und vorzuͤglich , auf den Schiffen , einen Faden nennet ; ( c ) zur Ausmeſſung der Tiefe eines Bergwerkes , eines Schachts , oder eines Steinbruchs , bey welchem Gebrauche die Klafter im Deutſchen gewoͤhnlicher eine Lachter heißt : wiewol eine deutſche Lachter an den meiſten Orten etwas mehr , als eine Klafter , naͤmlich 3 und eine halbe Elle lang iſt ; und endlich ( d ) zur Ausmeſſung der Stricke und Seilwerke , ſonderlich der Kabeltaue , welche dazu dienen , die Schiffsanker daran zu befeſtigen .",653554,38,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Die Bergwerke im Erztſtifte Salzburg , in Tyrol und einigen andern oͤſterreichiſchen Erblanden , in Meißen , im braunſchweiger Lande , auf dem Harze , in den Grafſchaften Henneberg , Mannsfeld und Stollberg , und in Thuͤringen , liefern Gold , Silber , Kupfer , Eiſen , Bley , Zinn , Vitriol , blaue Farbe und Kobold , Arſenik , Spiesglas , Wismuth , Queckſilber , und faſt alle nur moͤgliche Bergarten .",660131,2,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Jnſonderheit wird an den Kuͤſten von Andaluſien , Catalonien , und Valencia , ingleichen auf den Jnſeln Majorca , Jvica , und Formentera viel Seeſalz gemacht , wobey die Sonnenhitze die Stelle des Feuers vertritt : in Catalonien hat man auch Steinſalz ; g ) ſehr gutes Eiſen , das aus den Bergwerken in Biſcaya und Obernavarra koͤmmt ; h ) ſpaniſcher Kork .",660599,38,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Ob man gleich in Holland Bergwerke und Erztgruben vergebens ſucht ; ſo giebt es dennoch daſelbſt ſo viel Gold und Silber als in Peru , ſo viel Zinn als in England , ſo viel Kupfer und Eiſen als in Schweden , u. ſ. w. Ja ſelbſt Gewuͤrze und Specereyen , nebſt Arztney- und Farbematerialien ſind in Holland in ſolchem Ueberfluſſe , als wenn es das Vaterland aller dieſer Waaren waͤre .",660932,94,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Hiernaͤchſt aber ließ er ſich die Eroͤffnung der bisher ungegraben gelegenen Bergwerke aͤußerſt angelegen ſeyn : wie er denn nicht nur die geſchickteſten Bergleute von allen Orten her verſchrieb ; ſondern auch 1718 ein Bergcollegium aufrichtete , das allerhand gute Anſtalten zur Aufnahme und Fortgange der Bergwerke machen mußte .",662211,204,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Hiernaͤchſt aber ließ er ſich die Eroͤffnung der bisher ungegraben gelegenen Bergwerke aͤußerſt angelegen ſeyn : wie er denn nicht nur die geſchickteſten Bergleute von allen Orten her verſchrieb ; ſondern auch 1718 ein Bergcollegium aufrichtete , das allerhand gute Anſtalten zur Aufnahme und Fortgange der Bergwerke machen mußte .",662211,34,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Von Erzten und andern Mineralien ſind Siberien und das Koͤnigreich Kaſan voll : ( o ) Gold wird ſowol in dem Silber , aus dem arguniſchen Bergwerke , als auch in den meiſten Kupfererzten , beſonders den koliwaniſchen , gefunden .",662281,8,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Die Naturgaben Schwedens beſtehen 1 ) im Getreide ; doch iſt Schweden an und vor ſich ſelbſt reicher an Bergwerken , als an fruchtbaren Aeckern .",662667,26,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Es macht das Eiſen , deſſen Bergwerke unerſchoͤpflich , ⅔ von den Reichsproducten aus .",662701,184,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Die dritte Grundſtuͤtze iſt der Bergbau , indem die Bergwerke , ſonderlich die Eiſenbergwerke , den groͤßten Reichthum des Koͤnigreichs Schweden ausmachen ( §. 293 ) .",662719,144,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Ein Berg-Werck mit allerhand Ertzen .,726391,125,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Caduciren , heiſt bey Bergwercken , wann jemanden ſeine im Retardat geſtandene Kuxe aberkannt werden .",771768,74,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Auf Bergwercken heiſſen Minen Gold-Silber-Kupffer- und Eiſen-Gaͤnge .,776195,58,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Virgula mercurialis , eine Wuͤnſchel-Ruthe , Gluͤcks-Ruthe , womit man die Ertze in denen Bergwercken ꝛc. aufſuchet .",781659,231,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Vitriol , Kupfer-Waſſer ; ein mineraliſches oder Bergartiſches Saltz , ſo ſich bey allen Metallen , ſonderlich beym Kupfer , finden , und in Bergwercken antreffen laͤſſet .",781706,99,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Als das untere Ruhrthal mit der benachbarten rheiniſchen Provinz vereinigt wurde , erbat er ſich von dem Könige die Gnade , daß ihm die Aufſicht über den geſammten Stromlauf verblieb , und ruhte nicht , bis er die Mittel erhielt zum Bau des Ruhrorter Hafens , des großen Ausgangsthores der weſtphäliſchen Bergwerke .",896290,86,late,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Der Gothiſche Koͤnig , Adalaricus , lobet das Bergwerck , his ver- bis :",960239,9,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Wie nun eigentlich ſolcher Bergbau nuͤtzlich vorgenommen werde , hiervon , weil ich dergleichen zulaͤngliche Wiſſenſchafft nicht habe , auch zu unſerm Vorhaben allzuweitlaͤufftig , will ich den geneigten Leſer hiermit an die Bergwercks verſtaͤndige Autores , nemlich Georg Engelhart von Loͤhn Eys , item Abraham von Schoͤnberg , oder Balthaſar Roͤßlers Berg-Bau-Spiegel , gewieſen haben , das meiſte aber , wie in aller Praxi zu finden und weit beſſer zu begreiffen ſeyn wird , beſtehet ſonderlich in der Ubung .",960241,102,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Sonſt ſtatuiren die Berg- Verſtaͤndige , daß das Geſtein des Bergwercks in der Erde meiſt ein gantzer Felß ſeyn ſolle , welcher mit der Damm-Erde bedecket , weil man ja an vielen Orten , da es im Gebuͤrge ſeine Art hat , augenſchein- und deutlich , nach vielerley Formen und Geſtalt , die Geſteine und Felſen-Klippen maͤchtig hoch hervor ſtehen ſiehet , ſo dann theils vom Alterthum gantz grauer Farbe , an der Wetter-Seite mit Mooß oder Kraͤutern verwachſen ſind ; Und will man aus Erfahrung gewiß behaupten , daß noch heut zu Tage die Felßen-Gebuͤrge und Geſteine in ihrer unterirdiſchen Generation taͤglich wachſen .",960244,19,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Es iſt recht ſehr wundernswuͤrdig , daß auch die Stein-Felßen vermuthlich ihre Radicem ſubterraneam , wurtzelende , und zeugende , ab- und zunehmende Krafft oder Animam vegetativam haben , weiln ſie nicht allein , wiewohl ſparſam , wachſen , indem in Bergwercken , in Stollen und Schaͤchten der Kluͤffte und Gaͤnge Thuͤr-Stoͤcke zuſammen gedrucket wahrgenommen worden ; Sondern auch dasjenige Clima , woher ſie genommen worden ſind , behalten und bezeugen , dann man taͤglich wahrnimmet , daß die Bruch-Steine , welche von der Wetter-Seiten aus den Felßen gehauen , und vermauret worden , bey Aenderung des Wettes zu ſchwitzen , und zu ſchimmeln pflegen .",960550,34,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Oder es bemercken andere jeden Stand oder Winckel auch Arte Navali durch den See-Compaß , worauf die 32. Winde verzeichnet und vornehmlich die vier Haupt-Theile , als Morgen , Mittag , Abend , und Mitternacht zu befinden , vermittelſt der Magnet-Nadel , als welche allzeit natuͤrlicher Weiſe nach Norden , oder Mitternacht zeiget , wie es ebenfalls in denen Bergwercken die Marck-Scheider obſerviren .",960939,25,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Was vor eine unglaubliche Menge Holtzes gleichfalls die unter der Erden befindlichen Berg-Gebaͤude an Verzimmerung der Gruben , Schaͤchte und Stollen wegnehmen , daß oͤffters um ſelbige Gegend kaum oben auf der Erden ſo viel Holtzes zu finden , als wohl unter der Erden verbauet worden iſt und daſelbſten ſtecket , kan man ausfuͤhrlicher und deutlicher bey denen weitlaͤufftigen Bergwercken des Hartz-Waldes und Ertzgebuͤrgiſchen Creyſes augenſcheinlich erſehen .",961168,38,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Es iſt aber das Zimmern ein nothwendiger Bau bey denen Bergwercken , weil das Geſtein nicht aller Orten ſo feſt , daß es an ſich ſelbſt beſtaͤndig , ſonderlich nahe am Tage , auch bey gebrochenen Gaͤngen , Faͤulen und dero Orten , wo zumahl ſandigte Gebuͤrge und keine andere Schickſal des Landes anzutreffen , und wann es gleich manchen Ort eine Zeitlang haͤlt , ſo loͤſet es ſich doch endlich und wird bruͤchig , entweder wegen der Kluͤffte , oder durchs Waſſer , Erd-Duͤnſte und Wetter .",961169,1,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Nach dem Klaffter-Schlagen folget billig das Kohlen-Brennen , welches ein bey Schmeltzung aller Metallen der Bergwercken hoͤchſtnuͤtzliches und unentbehrliches Werck iſt , ſo auch die Gold- und Silber-Arbeiter , ingleichen Schloͤſſer , Schmiede und andere Handwercks-Leute , ja faſt Jedermann zu unzehlichem Gebrauch nicht wohl entrathen koͤnnen , und werden ſelbige ohnweit des geſchlagenen Holtzes auf einem ebenen Platz und trockenen Boden circulrund angerichtet , worzu in der Mitten eine Stange von 4. biß 5. Ellen ausgeſtecket und daran die Scheite , rings umbher geſetzet , und ein Zuͤndloch mit benoͤthigten trockenen Spaͤnen innenwendig gelaſſen , worauf drey Schichten umb die Stange geſetzet , biß oben die dritte Schicht von kleinem Holtz eine Haube bekomme ; Letzlich wird es mit Deck-Reiß fein geſchicklich bedecket , und mit Erde uͤberworffen , ſo iſt es fertig .",961299,48,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Adalaricus , Gothiſcher Koͤnig / lobet das Bergwerck .",969090,9,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Bergwerck / wird von dem Gothiſchen Koͤnig / Adalarico , gelobet .",969229,30,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Gezimmer in denen Bergwercken / werden beſchrieben .,969625,68,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Was fuͤr Holtz in denen Bergwercken zur Verzimmerung und anderer Beduͤrffniß zu gebrauchen ? 65. b. wie das Holtz zum Aſchbrennen beſchaffen ſeyn muß ? 75. b.,969775,108,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Lob / des Bergwercks .,970040,138,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Schaͤchte in Bergwercken / werden beſchrieben / wie ſie ausgezimmert werden .,970356,265,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Zimmern der Berg-Gebaͤude / iſt denen Waͤldern und Gehoͤltzen hoͤchſtſchaͤdlich / 64. a. b. iſt bey denen Bergwercken ein nothwendiger Bau .,970834,82,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Begreiflich alſo , daß die ſchleſiſchen und einige der weſtphäliſchen Bergwerke den König dringend um Zollſchutz baten .",1115837,164,late,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Ihre Fabriken und Bergwerke hatten unter der langen Säumniß ſchwer gelitten .,1116271,114,late,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"In einer langen Denkſchrift ( Juni 1846 ) ſchlug er dem Monarchen eine Umgeſtaltung des Miniſteriums vor , dergeſtalt , daß die Bank ſowie alle Geldinſtitute des Staates dem Finanzminiſter untergeordnet , Handel und Gewerbe , Bergwerke und Poſten hingegen einem neuen Handelsminiſterium überwieſen würden ; denn in ſeiner gegenwärtigen Stellung ſei der Finanzminiſter „ vernichtet “ .",1116404,277,late,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Sonſt waren die Bergwerke ergiebig .,1163153,29,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Als Kaufleute , nicht als Gelehrte , führen die Polos ihre Entdeckungsreisen aus ; auf der Suche nach Gold entdeckt Columbus Amerika ; die Erschliessung Indiens ist ( wie heute die Afrika’s ) lediglich das Werk der Kapitalisten ; fast überall wird der Betrieb der Bergwerke durch die Verleihung eines Monopols an unternehmende Einzelne ermöglicht ; bei den grossen gewerblichen Erfindungen am Schlusse des vorigen Jahrhunderts hatte stets der Einzelne gegen die Gesamtheit sein Leben lang zu kämpfen und wäre ohne die Hilfe des unabhängigen , gewinnsüchtigen Kapitals erlegen .",1213403,5,late,5,5,20,9
