setting	filename	compound	num_examples	requested_k	effective_k	iterations	ensemble_runs	num_clusters	largest_cluster_size	status	reason
cw_knn_k10_iter20_ens9	rehbock.pickle	rehbock	147	10	10	20	9	8	35	clustered	
cw_knn_k10_iter20_ens9	ruhestand.pickle	ruhestand	928	10	10	20	9	64	50	clustered	
cw_knn_k10_iter20_ens9	salzwasser.pickle	salzwasser	711	10	10	20	9	44	40	clustered	
cw_knn_k10_iter20_ens9	schauspiel.pickle	schauspiel	3197	10	10	20	9	183	79	clustered	
cw_knn_k10_iter20_ens9	seewasser.pickle	seewasser	241	10	10	20	9	20	27	clustered	
cw_knn_k10_iter20_ens9	sonnenblume.pickle	sonnenblume	163	10	10	20	9	11	25	clustered	
cw_knn_k10_iter20_ens9	sonnenlicht.pickle	sonnenlicht	733	10	10	20	9	44	50	clustered	
cw_knn_k10_iter20_ens9	sonnenschein.pickle	sonnenschein	1773	10	10	20	9	104	53	clustered	
cw_knn_k10_iter20_ens9	sonnenstrahl.pickle	sonnenstrahl	1261	10	10	20	9	72	40	clustered	
cw_knn_k10_iter20_ens9	sonnenuhr.pickle	sonnenuhr	202	10	10	20	9	14	30	clustered	
cw_knn_k10_iter20_ens9	stockwerk.pickle	stockwerk	1200	10	10	20	9	62	61	clustered	
cw_knn_k10_iter20_ens9	streitsache.pickle	streitsache	127	10	10	20	9	9	21	clustered	
cw_knn_k10_iter20_ens9	stückwerk.pickle	stückwerk	218	10	10	20	9	13	34	clustered	
cw_knn_k10_iter20_ens9	sündenfall.pickle	sündenfall	220	10	10	20	9	15	24	clustered	
cw_knn_k10_iter20_ens9	tagewerk.pickle	tagewerk	281	10	10	20	9	18	27	clustered	
cw_knn_k10_iter20_ens9	trauerspiel.pickle	trauerspiel	1101	10	10	20	9	60	53	clustered	
cw_knn_k10_iter20_ens9	triebwerk.pickle	triebwerk	125	10	10	20	9	8	33	clustered	
cw_knn_k10_iter20_ens9	uhrwerk.pickle	uhrwerk	381	10	10	20	9	26	48	clustered	
cw_knn_k10_iter20_ens9	windspiel.pickle	windspiel	122	10	10	20	9	10	25	clustered	
cw_knn_k10_iter20_ens9	wortspiel.pickle	wortspiel	209	10	10	20	9	16	23	clustered	
cw_knn_k10_iter20_ens9	wunderwerk.pickle	wunderwerk	1063	10	10	20	9	54	63	clustered	
cw_knn_k10_iter20_ens9	zeughaus.pickle	zeughaus	414	10	10	20	9	23	40	clustered	
cw_knn_k10_iter20_ens9	ziegenbock.pickle	ziegenbock	101	10	10	20	9	9	17	clustered	
cw_knn_k10_iter20_ens9	zitronensaft.pickle	zitronensaft	120	10	10	20	9	9	18	clustered	
cw_knn_k20_iter20_ens9	bergwerk.pickle	bergwerk	2167	20	20	20	9	41	159	clustered	
cw_knn_k20_iter20_ens9	bildhauer.pickle	bildhauer	1167	20	20	20	9	34	97	clustered	
cw_knn_k20_iter20_ens9	brunnenwasser.pickle	brunnenwasser	275	20	20	20	9	10	55	clustered	
cw_knn_k20_iter20_ens9	eifersucht.pickle	eifersucht	1616	20	20	20	9	56	56	clustered	
cw_knn_k20_iter20_ens9	eisenwerk.pickle	eisenwerk	1056	20	20	20	9	24	128	clustered	
cw_knn_k20_iter20_ens9	feldzug.pickle	feldzug	1970	20	20	20	9	44	88	clustered	
cw_knn_k20_iter20_ens9	feuerwerk.pickle	feuerwerk	604	20	20	20	9	19	71	clustered	
cw_knn_k20_iter20_ens9	gesichtszug.pickle	gesichtszug	509	20	20	20	9	19	48	clustered	
cw_knn_k20_iter20_ens9	grundfläche.pickle	grundfläche	678	20	20	20	9	24	46	clustered	
cw_knn_k20_iter20_ens9	hausstand.pickle	hausstand	235	20	20	20	9	9	51	clustered	
cw_knn_k20_iter20_ens9	heerführer.pickle	heerführer	460	20	20	20	9	15	56	clustered	
cw_knn_k20_iter20_ens9	kartenspiel.pickle	kartenspiel	162	20	20	20	9	7	57	clustered	
cw_knn_k20_iter20_ens9	kinderspiel.pickle	kinderspiel	240	20	20	20	9	9	43	clustered	
cw_knn_k20_iter20_ens9	kreuzzug.pickle	kreuzzug	383	20	20	20	9	12	58	clustered	
cw_knn_k20_iter20_ens9	leinöl.pickle	leinöl	133	20	20	20	9	5	35	clustered	
cw_knn_k20_iter20_ens9	mauerwerk.pickle	mauerwerk	863	20	20	20	9	27	82	clustered	
cw_knn_k20_iter20_ens9	meerwasser.pickle	meerwasser	261	20	20	20	9	12	54	clustered	
cw_knn_k20_iter20_ens9	murmeltier.pickle	murmeltier	230	20	20	20	9	8	50	clustered	
cw_knn_k20_iter20_ens9	rechtsstreit.pickle	rechtsstreit	742	20	20	20	9	16	81	clustered	
cw_knn_k20_iter20_ens9	rehbock.pickle	rehbock	147	20	20	20	9	4	56	clustered	
cw_knn_k20_iter20_ens9	ruhestand.pickle	ruhestand	928	20	20	20	9	23	72	clustered	
cw_knn_k20_iter20_ens9	salzwasser.pickle	salzwasser	711	20	20	20	9	27	52	clustered	
cw_knn_k20_iter20_ens9	schauspiel.pickle	schauspiel	3197	20	20	20	9	81	168	clustered	
cw_knn_k20_iter20_ens9	seewasser.pickle	seewasser	241	20	20	20	9	9	42	clustered	
cw_knn_k20_iter20_ens9	sonnenblume.pickle	sonnenblume	163	20	20	20	9	5	66	clustered	
cw_knn_k20_iter20_ens9	sonnenlicht.pickle	sonnenlicht	733	20	20	20	9	27	70	clustered	
cw_knn_k20_iter20_ens9	sonnenschein.pickle	sonnenschein	1773	20	20	20	9	53	89	clustered	
cw_knn_k20_iter20_ens9	sonnenstrahl.pickle	sonnenstrahl	1261	20	20	20	9	44	86	clustered	
cw_knn_k20_iter20_ens9	sonnenuhr.pickle	sonnenuhr	202	20	20	20	9	8	47	clustered	
cw_knn_k20_iter20_ens9	stockwerk.pickle	stockwerk	1200	20	20	20	9	27	120	clustered	
cw_knn_k20_iter20_ens9	streitsache.pickle	streitsache	127	20	20	20	9	6	32	clustered	
cw_knn_k20_iter20_ens9	stückwerk.pickle	stückwerk	218	20	20	20	9	10	33	clustered	
cw_knn_k20_iter20_ens9	sündenfall.pickle	sündenfall	220	20	20	20	9	9	37	clustered	
cw_knn_k20_iter20_ens9	tagewerk.pickle	tagewerk	281	20	20	20	9	13	38	clustered	
cw_knn_k20_iter20_ens9	trauerspiel.pickle	trauerspiel	1101	20	20	20	9	30	106	clustered	
cw_knn_k20_iter20_ens9	triebwerk.pickle	triebwerk	125	20	20	20	9	3	74	clustered	
cw_knn_k20_iter20_ens9	uhrwerk.pickle	uhrwerk	381	20	20	20	9	16	47	clustered	
cw_knn_k20_iter20_ens9	windspiel.pickle	windspiel	122	20	20	20	9	3	56	clustered	
cw_knn_k20_iter20_ens9	wortspiel.pickle	wortspiel	209	20	20	20	9	8	43	clustered	
cw_knn_k20_iter20_ens9	wunderwerk.pickle	wunderwerk	1063	20	20	20	9	32	121	clustered	
cw_knn_k20_iter20_ens9	zeughaus.pickle	zeughaus	414	20	20	20	9	15	51	clustered	
cw_knn_k20_iter20_ens9	ziegenbock.pickle	ziegenbock	101	20	20	20	9	4	45	clustered	
cw_knn_k20_iter20_ens9	zitronensaft.pickle	zitronensaft	120	20	20	20	9	4	53	clustered	
