target_word,sentence_1_id,sentence_1,sentence_2_id,sentence_2,era_group,[Bewertung]
eisenwerk,969459,3. b. vermittelſt was fuͤr Gelegenheiten ſie offenbahret zu werden pflegen ? ibid. alles Ertztes und Eyſenwercks erſter Meiſter / 3. b.,5501474,"Ein gleiches iſt nachhero auch unterſchiedliche mahl mit denen angelegten Ketten und Banden geſchehen , jedoch endlich hat ein Schmid die ſtaͤrckſten eiſernen Bande verfertiget , auch die Muͤhe auf ſich genommen , nebſt ſeinen Geſellen bey mir zu wachen , und meine Haͤnde , ſo offt ſie ſich an dem Eiſenwercke vergreiffen wollen , mit Brenn-Neſſeln ſo lange zu peitſchen , biß mir die Luſt zum Zerbrechen nach und nach verſchwunden .",Early-Early,4
sonnenblume,1121738,"O wahre Sonnenblumen ! ihr Erweiſt , da ihr faſt Graͤnzen-lo ! , Nicht nur , daß eures Gartens Zier Und Raum faſt unermeßlich groß ; Jhr ſtellt zugleich den Schoͤpfer mir Recht wuͤrdig , recht unendlich fuͤr .",4284674,"Die Sonnenblumen welken und knicken , die Aſtern ſchrumpfen eines Tages ein .",Cross-Era,4
sündenfall,4312354,"JCh habe aus deſſelben neulichem den uͤberſchickten caſum wohl verſtanden / wie nemlich Ucalegon , nach dem er mehrmahl uͤber den mangel der andacht indem gebet und viele hertzensangſt geklaget / endlich von ſeinem gewiſſen getrieben / ſeine ſchwehre ſuͤndenfaͤlle / ſonderlich veruͤbter fleiſchlicher unzucht / reuig gebeichtet und geklaget / da nun die frage ſeye / wie den jenigen weibsverſonen / welche mit ihm geſuͤndiget zu helffen / und ſie zur wahren buß zu bringen ſeyen / als welches denſelben auch obliege / nach dem er aller derſelben beichtvater nicht weniger ſeye / als deſſen der nunmehr ſeine ſuͤnde erkant habe .",110299,"2. Dieſes Gebot vom Glauben und von der Liebe hat er uns gegeben gleich vom Anfange her nach dem Suͤndenfall in den Patriarchen durch ſeine unmittelbare Offenbarung , und durch die Patriarchen , als geſegnete Mittels-Perſonen , hat er es andern Menſchen kund gemacht , auch von den Zeiten Moſis an es durch die Propheten in Schriften laſſen verfaſſet werden .",Early-Early,2
bergwerk,2588925,"Kaiser Maximilian , der lebhaften Anteil an der Entwickelung des Bergbaues seiner Länder nahm , erlieſs Montag vor heiligen drei Könige 1517 eine Bergordnung für die Bergwerke in Österreich , Steiermark , Kärnthen und Krain .",451297,"Eine Specialität der Königshütte war Seildraht für die Harzer Bergwerke , der nicht gezogen , sondern mit dem Zainhammer rund geschmiedet wurde .",Late-Late,4
heerführer,1468354,"Die Namen der Baukünstler erscheinen neben den Namen der Könige , während andere Namen , etwa von Staatsmännern , Heerführern , Gelehrten kaum bekannt sind .",1470104,"Doch lieſsen sich die Fürsten und Heerführer ihr Schlachtschwert auch öfter von einem Waffenträger nachtragen , wie dies Saul in seinem letzten verzweifelten Kampfe gegen die Philister auf dem Gebirge Gilboa that .",Late-Late,2
ruhestand,847968,Sie helffen dir das recht und die geſetze ſchuͤtzen ; So bluͤht durch dich und ſie des Pindus ruheſtand .,5204638,Da iſts alſo kein wunder wo uns der HERR / als der ſich in die harꝛe nicht ſpoten laͤſſet / endlich alles ſolches / unſere politiſche freyheit und ruhe-ſtand / ſo dann die religions freyheit und dero umeingeſchrenckten gebrauch wegnehme / oder doch dermaſſen beſchneide und einſchrencke / daß wir ſagen muͤſſen / der HERR hat nicht vergeſſen / was wir gegen ihn geſuͤndiget / ſondern unſere miſſethaten in das liecht vor ſeinem angeſicht geſtellet .,Early-Early,4
feldzug,3620581,"Der Mangel am Gelde , weil ſowol die aͤußere als innere Schatzkammer durch den aͤgyptiſchen Feldzug erſchoͤpfet waren , noͤthigte Selim , ſeinen vorhabenden Krieg das erſte Jahr aufzuſchieben , und ſeine Gedanken darauf zu richten , wie er von den eroberten Landſchaften friſchen Vorrath erheben moͤchte .",3626329,Die Venetianer kroͤneten ihren Feldzug in Morea mit der Eroberung von Neapel von Romanien .,Early-Early,2
feldzug,5467475,"Nachdem nun die Muͤden von dieſem Feldzuge ausgeruhet , und ſo wol ſie , als ihre Pferde ſich wieder erholet hatten ; ſo ſchrieben ſie in der Faſten einen andern Feldzug aus .",3948115,"Wir ſehen aus sidonii panegyrico , daß Avitus dieſen Feldzuͤgen mit beygewohnet , und daß theils Hunnen und Sarmater , theils verſchiedene Teutſche Voͤlcker , als namentlich Eruler , Salier und andere Francken , wie es ſcheinet , auf Burgundiſcher , Seiten mit gefochten .",Early-Early,2
mauerwerk,1350758,"1 □m volles Mauerwerk , ½ Stein ſtark = 50 „",1352498,"Falls beim Backſteinrohbau Doſſirungen oder Biegungen und Winkel vorkommen , ferner das Mauerwerk , wie z. B. bei Treppenhäuſern , eckig iſt , muß man dieſes nach Schablonen mauern ; daſſelbe gilt für eckige Pfeiler .",Late-Late,2
bergwerk,3166298,"Alſo gehoͤren unter die ſachen des ſtates die oͤffentliche heerſtraßen , bergwerke , die fluͤſſe , ſeen , meere , welche beſtrichen werden koͤnnen , die luft , die waͤlder , ſalzquellen , edelgeſteine , inſeln ꝛc. wie bald mit merern gezeiget werden ſoll , Hert am a. o. § 56 , Stryk de iure principis aereo , Kreß im ſpecim. iurisprud. lib. I tit. II § 3 , Engau in der diſp. cuinam inſularum in fluminibus publicis natarum competat dominium ? cap. II , Schilter in der exercit . IIII § 19 , Gryphiander de inſulis , Link de iure fluminum , Fritſch de iure fluuiat . , Buchner de re et iure aquatili § 113 fg .",3175568,Wo demnach ein bergwerk von ſteinkolen in einen brand geraͤt ; ſo weiß man zwar noch kein loͤſch-mittel : behilft ſich aber noch mit daͤmpfung durch den miſt .,Early-Early,2
wunderwerk,3480971,Wir ſetzen ſie demnach voll reiner Liebes-Flammen / Als ein recht Wunderwerck in eine Grufft zuſammen .,3509891,"Was der Zaubrer nicht vermag ; thut derjenige , den er gelaͤſtert hat ; und was das Aergſte iſt , durch ein wahrhaftes Wunderwerck , dabey er die Geſetze der Natur aufheben muß .",Early-Early,4
zeughaus,14475,"Die Sammlung füllt alle Räume des königlichen Zeughauses an der Schloſsbrücke , welches bis zum Jahre 1875 teilweise noch dem praktischen Zwecke der Aufbewahrung des Kriegsmateriales diente .",1219244,"Die militäriſchen Schnurrbärte der Caſſeler Bürgergarde verletzten ſein heiligſtes Gefühl ; nun mußte er dieſen Unholden aus ſeinem Zeughauſe Waffen geben und ſogar in einem Manifeſte verkündigen , daß er „ den guten Geiſt und den bewährten treuen Sinn der Heſſen mit Wohlgefallen erkennend “ überall im Lande die Bildung von Bürgerbataillonen geſtatten wolle .",Late-Late,4
sonnenblume,4756093,"Wie ſpielt nicht die himmliſche Sonn in Wundern , das niedere Veyelchen der Demuth , der reinliche Jeſmin der Weißheit , Unſchuld , Kleinheit , voll balſamiſchen Geruchs des Evangelii , die Glocken-Blum ſoll oͤffters als ein Bett-Glock gezogen werden , JEſum mit liebreichem Geſang zu erhoͤhen , und mit ſehnlichſter Begierde um ſein Huͤlff zu erſuchen ; Die Sonnen-Blum heißt uns in Liebes-Flammen funcklen gegen GOTT , die hohen Kayſer-Cronen lehren uns die Eitelkeit aller Welt Herrlichkeit , ſo mehr von rauchen Winden beſchwert iſt als niedriges Graß ; Die Tulipen mahnen mich an ſtoltze Toͤchteren in ihren buntfaͤrbigen Kleideren , eine ſchlechte Augenluſt ohne Geruch der H. Liebe Chriſti , alſo iſt ein jeder gerechtfertigter und geheiligter , der in Chriſti geiſtlich Paradiſiſcher Erde ſtehet eine Blume nach ſeiner Art ;",2404018,Auch das Bildniss mit der Sonnenblume ( Nr. 440 ) hiess früher spanische Schule und ist ebenfalls mailändisch .,Cross-Era,2
meerwasser,3929187,Und laſſet ſich auch hierauß ſchlieſſen / daß die Waſſer der Suͤndflut ſchwerer muͤſſen an gewicht geweſen ſeyn / als die heutigen Meerwaſſer / weilen die ſo ſchweren Perlen Muͤſchelen auf ſo langer Reiſe auß Jndien hieher nicht untergangen / da ſie ſonſten von denen Meereswellen nicht weit pflegen getriben zuwerden :,1128106,Sie waren zum Teil durch den Sturz und das Meerwaſſer beſchädigt .,Cross-Era,4
trauerspiel,2252492,Seneca hat ſolche Tragoͤdie und Trauerſpiel wohl beſchrieben .,3862515,"Sie kannten ja Robert , den Bruder von Frau Rahel Varnhagen in Karlsruhe ; hat er Ihnen nie aus dieſem bürgerlichen Trauerſpiel vorgeleſen ?",Cross-Era,4
salzwasser,1457457,"Daß der Weg aus dem Zellgewebe unter der Haut in die Blutadern offen ſtehe , iſt durch beſondre Verſuche bekannt geworden , die man vornaͤmlich in Abſicht auf das Verſchlukken des Fettes angeſtellt hat . Es kehren aber auch andre Saͤfte , die ſich in dieſe Raͤume ergoſſen , wieder ins Gebluͤte zuruͤk , dergleichen die verſperrte Luft , das Waſſer in Waſſerſuͤchtigen , die kuͤnſtlich unter die Haut gebrachte Feuchtigkeiten , und endlich das Blut ſelbſt iſt , welches an gequetſchten Stellen , die damit unterlaufen ſind , in den Fettzellen ſtokket , und ſich wieder in die andere Blutmaſſe hineinſchleicht , nachdem es ſich erſt in ein duͤnnes gelbes Salzwaſſer aufgeloͤſet hat .",2256204,"Siedet den Karpffen-Rogen in Saltz-Waſſer halb gar ab , darnach ſchneidet ihn mit einem Schneide- Meſſer klein , pasſiret ihn ein wenig in Butter , thut etwas geriebene Semmel , und auch 3. Eyer drein , wuͤrtzet es mit Ingber und Pfeffer , gieſſet ein Paar Eß-Loͤffel voll ſuͤſſen Rahm drunter , und ruͤhret es alſo auf dem Kohlfeuer durch einander ab .",Early-Early,4
seewasser,650997,"Der Zeug , woraus ſie gemacht werden , iſt anfangs , wenn er vom Stuhle koͤmmt , nichts anders , als ein ſehr lockerer Zeug ; aber , wenn er gekrumpen , und auf dem Sande und mit Seewaſſer gewalket iſt , ſo wird er ſo dicht , daß er faſt nicht von dem Regen durchdrungen werden kann .",4615649,"Schnepfen und Strandläufer ; hier scheint in den Namen Verwirrung zu herrschen ; shingi ( sigi ) , von Medhurst als Schnepfe erklärt , ist nach mehreren Bilderbüchern eine Art Strandläufer , mit nicht besonders langem Schnabel , im Wasser watend , nach der Umgebung zu schliessen , bald Süss- , bald Seewasser ; in der Encyclopädie dagegen ist der Vogel dieses Namens im Flug abgebildet , mit grossem Kopf und starkem Schnabel , als ob er sich eben in’s Wasser herabstürzen wollte , was nur auf einen Eisvogel passt , dazu mit feingeschecktem Gefieder und verhältnissmässig gross , also vielleicht Alcedo lugubris Schlegel .",Cross-Era,4
bildhauer,1252101,Wann der Schiffs- Zimmermann nunmehro fertig / ſo koͤmmt der Tiſcher oder Schreiner / die kleine und feine Arbeit / ferner der Bildhauer / um die Zierrahten / und ſonderlich was das Schiff hinten in ſeinen Spiegel oder zu ſeinen Zeichen fuͤhren ſoll / zu machen :,3598796,"Auch entſchloß er ſich , ein Empfehlungsſchreiben des Bildhauers in Hamburg an einen Kunſtgenoſſen abzugeben .",Cross-Era,4
meerwasser,3172561,"Hingegen iſt das meerwaſſer am ſchwereſten , mithin traͤget es auch am ſchwereſten , iedoch traͤget wohl ein ſtrom ſchwerer als der andre .",2995719,"Die circumpolaren Riementange ( Laminarien ) und Blasentange ( Fucusarten ) lieben kaltes Meerwasser und starke Brandung , wie sie die Umgebung der Insel Yezo und der Kurilen bietet , während zwei andere Gruppen der Melanospermen , die Cystosireen ( Blasenschnur- ) und Sargassaceen ( Beeren-Tange ) sich südwärts anschliessen .",Cross-Era,2
zitronensaft,4640950,Dann gab ich ihr ſtarken Kaffee mit Citronenſaft und dann den Galläpfelaufguß .,1471622,Statt der Mineralsäuren kann man auch Citronensaft oder Bieressig anwenden .,Late-Late,3
streitsache,3475480,"Es regierte damahls zu Rom nach Adriani Hintritt / Johannes VIII , der An. 873. zur Paͤbſtlichen Wuͤrde kommen war / ein Mann von ziemlich guten Gemuͤth / aber ſehr opiniatre und eigenſinnig / dabey auch etwas grauſam ( wie ihn ein alter Scribent nennet ) welches er in der Streitſache mit den Patriarchen zu Conſtantinopel ziemlich ſehen lieſſe .",4657066,"Sofern aber eine dazu berufene Verwaltungsbehörde nicht gegeben ist , führt das mit Notwendigkeit zu den für „ vermögensrechtliche Streitsachen “ allgemein zuständigen Civilgerichten : die Verwaltung klagt ihre öffentlichrechtliche Gebührenforderung ein .",Cross-Era,2
bergwerk,2592766,"In demselben Jahre verlieh er durch Patent vom Montag nach Quasimod . seinen Bergwerken am Iberge , zu Gittelde und in Grund , wie denen zu Zellerfelde folgende Privilegien : Freiheit der Wege , des Wassers , der Hütten und Pochwerke , auch aller Andern Gelände , wie altes Herkommen , Bergwerksrecht und Gewohnheit sei , freien Handel und Wandel der Bergleute , freies Geleit , freies Backen , Brauen und Schlachten , freien Wochenmarkt am Samstag bei Gittelde , in Grund und zu Zellerfeld .",2588925,"Kaiser Maximilian , der lebhaften Anteil an der Entwickelung des Bergbaues seiner Länder nahm , erlieſs Montag vor heiligen drei Könige 1517 eine Bergordnung für die Bergwerke in Österreich , Steiermark , Kärnthen und Krain .",Late-Late,2
gesichtszug,1090946,"Peter Camper , über den natürlichen Unterschied der Gesichtszüge .",1090414,"Dort lag vor Zeiten ein grosses Festland , dem Madagaskar und vielleicht Stücke von Ostafrika , dem die Malediven und Lakadiven , ferner die Insel Ceylon , die nie mit Indien zusammenhing , vielleicht sogar im fernen Osten die Insel Celebes , die eine befremdende Thierwelt mit halbafrikanischen Gesichtszügen besitzt , angehört haben .",Late-Late,4
uhrwerk,3657334,"Die Linienleitung L iſt durch eine Schleiffeder an eine Axe x gelegt , welche durch ein Uhrwerk in Umdrehung verſetzt wird und dadurch den Zeiger x z veranlaßt , über die voneinander iſolirten Contactſtücke I , II , III und IV der Reihe nach in der durch den Pfeil angegebenen Richtung zu ſchleifen .",2588685,"„ Wasserräder treiben eine eiserne Maschine , einem Uhrwerk nicht unähnlich , mit groſser Gewalt um .",Late-Late,4
stockwerk,6117227,Die 4. Modi ſind 4. Stockwercke .,1352963,"Bei Anwendung gewölbter Decken auf eiſernen Trägern kann die Mauerſtärke in ſämmtlichen Stockwerken und zu ebener Erde bei einer Zimmertiefe von 6m 48zm betragen , bei größeren Zimmertiefen 60zm , vorausgeſetzt , daß die Tragfähigkeit des Mauerwerkes nachgewieſen iſt .",Cross-Era,4
sündenfall,1210335,"Sündenfall und Gnade sind aber so eng zusammengehörige Teile eines einzigen Organismus , dass die leiseste Berührung des einen auf den anderen wirkt und so wurde denn auch nach und nach die wahre Bedeutung des Mythus vom Sündenfall derartig abgeschwächt , dass man heute allgemein die Jesuiten als Semipelagianer bezeichnet , und dass sogar sie selber ihre Lehre eine scientia media nennen .",2197938,"Die Form der Theophanie verbleibt auch noch für dieſe letztere die vorherrſchende Offenbarungsweiſe der Gottheit ; daß der Sündenfall eine gänzlich umgeſtaltende Einwirkung auf dieſen Verkehr Gottes mit der noch kindlichen Menſchheit geübt hätte , iſt aus den bibliſchen Berichten nicht zu erſehen .",Late-Late,2
leinöl,4208952,"Die Europaͤer machen es in einem Moͤrſel mit Leinoͤl an , und daraus , nachdem ſie es genugſam geſtoſſen , eine Maſſa , die ſie nach Franckreich verſenden , woſelbſt es gebraucht , und das Wachs , wenn es zu blaß iſt , gelb damit gefaͤrbet wird .",647442,"Gedachtes Gemenge wird entweder aus Wachs oder Harz , mit einigen andern Zuthaten verſetzet ; oder auch aus Leinoͤl und Silberglaͤtte , zu einem Firniß gekocht , gemacht .",Early-Early,4
sonnenstrahl,1655751,"Es koͤnnte zwar ſcheinen , als wenn man daraus den Urſprung des Cometenſchwanzes ganz begreiflich machen koͤnnte , weil die Sonnenſtrahlen , welche durch eine glaͤſerne Kugel hindurch gehen , dergeſtalt gebrochen werden , daß ſie , nachdem ſie einander in der Entfernung des vierten Theils von Diameter der Kugel durchſchnitten haben , aus einanderfahren , und die Figur eines Cometenſchwanzes vorſtellen , welcher denn auch nothwendig der Sonne gegen uͤber ſeyn muͤſte , aber auch dieſer Schein verſchwindet , wenn wir bedenken , daß die Lichtſtrahlen nicht empfunden werden , wenn nicht ein Koͤrper vorhanden iſt , der ſie in unſer Auge reflectirt , was ſollte aber dieſes fuͤr ein Koͤrper ſeyn , welcher machen koͤnnte , daß die Sonnenſtrahlen blos hinter den Kopf des Cometens , und nicht vielmehr von den Himmel allenthalben reflectirt wuͤrden .",2544130,"Durch den ſchweren Blüthenregen der Obſtbäume ſchoſſen die Sonnenſtrahlen ſchräg in den wieſigen Grund , ihn mit goldigen Tupfen überdeckend .",Cross-Era,3
sündenfall,4768709,"Verlaͤugnung ſeiner ſelbſten . 140 . in Reichthum und Gluͤck . 143 . in Armuth und Verachtung , in Suͤndenfaͤllen und Elend .",1210570,"Im Gegensatz zu anderen Stellen wird hier ( V , 12 ) der Sündenfall als ein rein historisches Ereignis eingeführt , der dann das zweite historische Ereignis , die Geburt des zweiten Adam » aus David’s Samen « ( I , 3 ) logisch bedingt .",Cross-Era,2
sündenfall,2947236,"Bald laͤſſet er einen blinden , aber in eigener Gerechtigkeit ſtehenden Menſchen durch ſchwere Suͤndenfaͤlle in den Koth geworfen werden , damit er uͤberzeuget werde , wie noͤthig er der Reinigung in dem Blute des Lammes habe .",146356,"Jch weiß wohl , man ſaget , er habe ſie durch den Suͤndenfall verlohren :",Early-Early,2
leinöl,4208952,"Die Europaͤer machen es in einem Moͤrſel mit Leinoͤl an , und daraus , nachdem ſie es genugſam geſtoſſen , eine Maſſa , die ſie nach Franckreich verſenden , woſelbſt es gebraucht , und das Wachs , wenn es zu blaß iſt , gelb damit gefaͤrbet wird .",124035,Etwa vorhandene Flecken lassen sich mit einem in etwas Leinöl getauchten Stückchen Watte oder Flanell leicht entfernen .,Cross-Era,4
leinöl,5529943,"Es ſei nur erwähnt , daß die gewöhnliche Druckerſchwärze meiſt aus Leinöl , das bis zur Sirupskonſiſtenz eingekocht iſt , und aus Lampenruß beſteht .",2997171,"Dasselbe wird z. B. in Awa auf der Insel Shikoku aus Samen von Gossypium herbaceum dargestellt und als Brennöl benutzt , gibt aber , wie das Leinöl , an dessen Geruch und Geschmack es erinnert , eine starkrussende Flamme .",Late-Late,2
sonnenlicht,4454376,"Die Zahl der Wenden war ſo groß , daß , als die Sonne jetzt hell auf die durchnäßten Kleider der hunderttauſend Wenden ſchien , ein Dampf zum Himmel aufſtieg , der ſie wie in eine Nebelwolke hüllte , während die Chriſten in hellem Sonnenlicht heranzogen und ob dieſer Erſcheinung voll Hoffnung und Zuverſicht waren .",5529004,"Dieſelbe iſt es z. B. , welche uns die Luftbläschen im Waſſer als glänzende Perlen ſichtbar werden läßt , während die Erſcheinungen der Fata morgana auf der einfachen Brechung der Lichtſtrahlen in verſchieden dichten Schichten der Atmoſphäre und die prachtvolle Erſcheinung des Regenbogens gleichzeitig auf der Brechung und totalen Reflexion des Sonnenlichtes an den Waſſerkügelchen der Wolken beruht .",Late-Late,2
feuerwerk,5407916,"Dann zündete der König eigenhändig das Feuerwerk an und nahm mit seinen Kindern auf dem Estrich des Katafalkes Platz , wohin der Phraklaṅ auch den Gesandten führte .",3861156,Sie hatten ein Feuerwerk abbrennen wollen — und verbrannten ſich dabei nebſt einigen Scheunen .,Late-Late,4
kartenspiel,986775,WAnn wir die eitlen Sachen Der ſuͤſſen loͤffeley Und etwas kuntbar machen / So iſt die fantaſey / Wo man die warheit ſagen will / Ein umgekehrtes kartenſpiel .,476279,"DEr ehſtand iſt ein kartenſpiel , Da ſpielt ein jeder , der nur will .",Early-Early,4
stockwerk,6117227,Die 4. Modi ſind 4. Stockwercke .,2639250,400. Aus der gegebenen Hoͤhe des Stockwerckes die Zahl der Stufen zu finden / welche die Treppe haben muß .,Early-Early,4
feldzug,1469058,"Verschiedene Könige folgten , unter denen wir nur Bin-nirarr ( von 810 bis 781 v. Chr. ) deshalb erwähnen wollen , weil uns von ihm eine interessante Keilinschrift , die sich auf einen siegreichen Feldzug in Syrien und eine groſsartige Brandschatzung der reichen Stadt Damaskus bezieht , erhalten ist ; sie lautet :",5839732,"Nochmals hoffte er , wie ſo oft ſchon , in der eroberten Hauptſtadt den Frieden zu diktiren und vergeudete , nachdem der Feldzug ohnehin allzu ſpät im Jahre begonnen worden , noch fünf unſchätzbare Wochen durch fruchtloſe Friedensverhandlungen .",Late-Late,2
stockwerk,2638593,Z. E. Wenn der Boden durch die Kapfenſter erleuchtet iſt / machet man an die Decke des Stockwerckes darunter ein viereckichtes Loch / damit das Licht herunter fallen kan .,4861599,"Damit nun die darinnen befindlichen Zeuge recht lufftig hangen moͤgen , ſo werden durchgehends ſo wohl im oberſten und unterſten Stockwercke , als auch auf beyden Dach-Boͤden Loͤcher in guter Ordnung nach einander gemacht , iedoch muͤſſen ſie dabey mit Laͤden vor dem Wetter wohl verwahret werden .",Early-Early,4
murmeltier,3973923,Das Murmelthier .,1454569,"Wenn man alte Rinder , die vor dem Pfluge abgetrieben worden , auf eine luſtige Weide bringt , ſo weis man aus der gemeinen Erfarung , daß ſie in gar kurzer Zeit ein wohlſchmekkendes Fett anlegen . Vermittelſt der Ruhe , nehmen Gaͤnſe , die man geblendet , und denen man die Schenkel zerbrochen , bis zur Unfoͤrmlichkeit am Fette uͤberfluͤßig zu , wenn man ſie mit Fleis maͤſtet , welches auch von den jungen Tauben gilt . Die Murmelthiere leben den Winter uͤber bei einem fetten Leibe , ohne Speiſe , wie man von den Baͤren ebenfalls weis; denn es ſchlafen beiderlei Thiere in dieſen Jareszeit beſtaͤndig fort , ob ſie gleich wenig oder nichts genieſſen .",Early-Early,2
